cameras,started,alive_at_end,capture_fps_per_cam,ai_fps_per_cam,aggregate_ai_fps,frame_age_p50,frame_age_p95,frame_age_p99,infer_latency_p95,read_wait_p50,cpu,ram,threads,drops,failures,devices,stable,samples,duration_s
1,1,1,2.3051819921110073,2.3135341007780763,2.3135341007780763,280.2565097808838,580.416202545166,716.7496681213379,414.2,12.03724299557507,38.99152542372882,41.291525423728814,18,0,0,openvino:INTEL:CPU,yes,59,120
5,5,5,0.592417649890955,0.5957646422632203,2.9788232113161017,1037.1348857879639,2030.2798748016357,2665.191888809204,1663.4,40.459809999447316,76.75178571428572,63.12678571428572,30,0,0,openvino:INTEL:CPU,yes,56,120
10,10,10,0.2528545353653598,0.25200603021312706,2.5200603021312706,2120.1846599578857,4972.7983474731445,7823.243856430054,6103.7,75.74116100295214,82.29807692307692,85.025,45,0,0,openvino:INTEL:CPU,yes,52,120
