cameras,started,alive_at_end,capture_fps_per_cam,ai_fps_per_cam,aggregate_ai_fps,frame_age_p50,frame_age_p95,frame_age_p99,infer_latency_p95,read_wait_p50,cpu,ram,threads,drops,failures,devices,stable,samples,duration_s
1,1,1,1.090513332253219,1.0989018963474746,1.0989018963474746,399.42264556884766,3353.1789779663086,5516.371011734009,787.7,25.22462401248049,48.974137931034484,70.04827586206896,18,0,0,cpu,no (frame age growing),58,120
5,5,5,1.2142361847938,1.210858615434151,6.0542930771707555,1003.530740737915,13722.0139503479,23877.299070358276,2717.9,56.85510899638757,75.26363636363637,84.57045454545455,30,0,0,"CPU,cpu",yes,44,120
10,10,10,0.2691052139149747,0.2691052139149747,2.6910521391497473,5174.24750328064,79908.30564498901,86804.73041534424,7954.3,86.89013701223303,45.378571428571426,96.06428571428572,45,0,0,"CPU,cpu",no (frame age growing),14,120
