cameras,started,alive_at_end,capture_fps_per_cam,ai_fps_per_cam,aggregate_ai_fps,frame_age_p50,frame_age_p95,frame_age_p99,infer_latency_p95,read_wait_p50,cpu,ram,threads,drops,failures,devices,device_transitions,stable,samples,duration_s
1,1,1,24.866431757850393,24.866431757850393,24.866431757850393,81.74324035644531,105.28993606567383,107.71512985229492,3.2,35.95646800022223,2.75,10.072727272727272,17,0,0,CUDA:0,,yes,44,90
3,3,3,24.901002367245308,24.901002367245308,74.70300710173592,81.76565170288086,101.08709335327148,105.99589347839355,3.6,37.76777700113598,4.720454545454546,10.3,23,0,0,CUDA:0,,yes,44,90
5,5,5,24.908355968473664,24.908355968473664,124.54177984236833,80.44052124023438,99.77960586547852,103.57880592346191,3.0,38.000855998689076,5.365909090909091,10.702272727272726,29,0,0,CUDA:0,,yes,44,90
