cameras,started,alive_at_end,capture_fps_per_cam,ai_fps_per_cam,aggregate_ai_fps,frame_age_p50,frame_age_p95,frame_age_p99,infer_latency_p95,read_wait_p50,cpu,ram,threads,drops,failures,devices,device_transitions,stable,samples,duration_s
10,10,10,24.934148580727676,24.935495644400326,249.35495644400325,74.84173774719238,96.1463451385498,103.21879386901855,1.3,38.54394599875377,7.351351351351352,11.3,44,0,0,CUDA:0,,yes,37,75
20,20,20,24.93273406534841,24.93273406534841,498.6546813069682,75.28257369995117,93.4133529663086,97.64528274536133,1.3,38.37780399953772,16.605405405405406,12.591891891891892,74,0,0,CUDA:0,,yes,37,75
30,30,30,24.891418015070297,24.891418015070297,746.7425404521089,94.43283081054688,114.26258087158203,118.7753677368164,1.7,38.128911999592674,26.018918918918917,13.972972972972974,104,0,0,CUDA:0,,yes,37,75
